,1. Ident,2. Type,3. Destination,4. Departure,5. Est Arrival,6. Arrval
0,ASH5716,CRJ9,Birmingham-Shuttlesworth Intl,Thu 07:48AM CDT,Thu 09:00AM CDT,
1,NKS436,A319,Pittsburgh Intl,Thu 07:45AM CDT,Thu 11:00AM EDT,
2,JZA8625,CRJ9,Vancouver Int'l,Thu 07:42AM CDT,Thu 09:29AM PDT,
3,AAL952,B738,Newark Liberty Intl,Thu 07:41AM CDT,Thu 11:38AM EDT,
4,ASH577A,CRJ9,Albuquerque Intl Sunport,Thu 07:41AM CDT,Thu 07:59AM MDT,
5,AAL2242,MD83,Kansas City Intl,Thu 07:40AM CDT,Thu 08:45AM CDT,
6,AAL159,A321,San Francisco Intl,Thu 07:39AM CDT,Thu 09:01AM PDT,
7,AAL1104,A321,LaGuardia,Thu 07:38AM CDT,Thu 11:27AM EDT,
8,UPS2751,MD11,Louisville Intl,Thu 07:37AM CDT,Thu 10:14AM EDT,
9,ASQ2815,CRJ7,Baton Rouge Metro,Thu 07:35AM CDT,Thu 08:37AM CDT,
10,AAL329,B738,Minneapolis/St Paul Intl,Thu 07:35AM CDT,Thu 09:25AM CDT,
11,AAL1343,A321,Cancun Int'l,Thu 07:34AM CDT,Thu 09:48AM EST,
12,AAL2197,A319,Cleveland-Hopkins Intl,Thu 07:33AM CDT,Thu 10:42AM EDT,
13,AAL2180,MD83,John Glenn Columbus Intl Airport,Thu 07:33AM CDT,Thu 10:29AM EDT,
14,AAL2336,B752,Miami Intl,Thu 07:33AM CDT,Thu 10:58AM EDT,
15,ENY3278,E170,Jacksonville Intl,Thu 07:32AM CDT,Thu 10:30AM EDT,
16,AAL761,A321,Phoenix Sky Harbor Intl,Thu 07:32AM CDT,Thu 07:36AM MST,
17,AAL2412,A321,San Antonio Intl,Thu 07:31AM CDT,Thu 08:16AM CDT,
18,ENY3315,E170,Clinton National,Thu 07:30AM CDT,Thu 08:11AM CDT,
19,ASQ2864,CRJ7,Mc Ghee Tyson,Thu 07:29AM CDT,Thu 10:00AM EDT,
20,ASH5740,CRJ9,El Paso Intl,Thu 07:28AM CDT,Thu 07:43AM MDT,
21,AAL585,A320,Philadelphia Intl,Thu 07:28AM CDT,Thu 11:23AM EDT,
22,RPA5899,E170,Detroit Metro Wayne Co,Thu 07:27AM CDT,Thu 10:31AM EDT,
23,ASH5714,CRJ9,Springfield,Thu 07:27AM CDT,Thu 08:12AM CDT,
24,AAL2289,A321,McCarran Intl,Thu 07:26AM CDT,Thu 07:53AM PDT,
25,AAL2437,B738,Hartsfield-Jackson Intl,Thu 07:26AM CDT,Thu 10:04AM EDT,
26,NKS902,A320,Orlando Intl,Thu 07:25AM CDT,Thu 10:45AM EDT,
27,AAL2183,B738,Austin-Bergstrom Intl,Thu 07:25AM CDT,Thu 07:59AM CDT,
28,AAL1302,B738,Fort Lauderdale Intl,Thu 07:24AM CDT,Thu 10:50AM EDT,
29,ASH5990,CRJ9,Louisville Intl,Thu 07:24AM CDT,Thu 09:56AM EDT,
30,AAL1065,MD83,Nashville Intl,Thu 07:23AM CDT,Thu 08:44AM CDT,
31,ASH5713,CRJ9,Eppley Airfield,Thu 07:22AM CDT,Thu 08:36AM CDT,
32,AAL2587,B738,Luis Munoz Marin Intl,Thu 07:22AM CDT,Thu 12:45PM AST,
33,AAL323,B738,St Louis Lambert Intl,Thu 07:21AM CDT,Thu 08:37AM CDT,
34,RPA6002,E170,LaGuardia,Thu 07:21AM CDT,Thu 11:11AM EDT,
35,ENY3692,E170,Toronto Pearson Int'l,Thu 07:20AM CDT,Thu 10:42AM EDT,
36,AAL2488,B738,Tampa Intl,Thu 07:20AM CDT,Thu 10:25AM EDT,
37,AAL2565,B738,Charlotte/Douglas Intl,Thu 07:20AM CDT,Thu 10:15AM EDT,
38,NKS254,A320,Boston Logan Intl,Thu 07:19AM CDT,Thu 11:39AM EDT,
