,1. Ident,2. Type,3. Destination,4. Departure,5. Est Arrival,6. Arrval
0,SWA591,B737,John Wayne,Thu 07:37PM PDT,Thu 08:55PM PDT,
1,UAL372,A319,Santa Barbara Muni,Thu 07:34PM PDT,Thu 08:17PM PDT,
2,UAL705,B739,Chicago O'Hare Intl,Thu 07:32PM PDT,Fri 12:54AM CDT,
3,UAL1229,B739,McCarran Intl,Thu 07:31PM PDT,Thu 08:39PM PDT,
4,UAL441,B752,Newark Liberty Intl,Thu 07:30PM PDT,Fri 02:55AM EDT,
5,UAL1432,A320,Bob Hope,Thu 07:29PM PDT,Thu 08:17PM PDT,
6,ASA744,B738,Salt Lake City Intl,Thu 07:28PM PDT,Thu 09:39PM MDT,
7,SWA4736,B737,San Diego Intl,Thu 07:25PM PDT,Thu 08:36PM PDT,
8,WJA1775,B737,Vancouver Int'l,Thu 07:24PM PDT,Thu 09:14PM PDT,
9,UAL926,B744,Frankfurt Int'l,Thu 07:23PM PDT,Fri 02:19PM CEST,
10,SKW5086,CRJ2,Ontario Intl,Thu 07:21PM PDT,Thu 08:15PM PDT,
11,ASA223,B737,Portland Intl,Thu 07:19PM PDT,Thu 08:32PM PDT,
12,VRD1938,A320,Los Angeles Intl,Thu 07:19PM PDT,Thu 08:14PM PDT,
13,TWY878,GLF5,Los Angeles Intl,Thu 07:15PM PDT,Thu 08:05PM PDT,
14,UAL2058,B738,Houston Bush Int'ctl,Thu 07:12PM PDT,Fri 12:18AM CDT,
15,SKW5239,CRJ2,Santa Barbara Muni,Thu 07:10PM PDT,Thu 08:00PM PDT,
16,THY80,B77W,Istanbul Ataturk Int'l,Thu 07:08PM PDT,Fri 04:35PM +03,
17,SKW5462,CRJ,Reno/Tahoe Intl,Thu 07:06PM PDT,Thu 07:39PM PDT,Thu 07:39PM PDT
18,UAL460,B739,Vancouver Int'l,Thu 07:04PM PDT,Thu 08:56PM PDT,
19,ASA247,B737,Seattle-Tacoma Intl,Thu 07:03PM PDT,Thu 08:33PM PDT,
20,FDX1345,B763,Memphis Intl,Thu 06:58PM PDT,Fri 12:09AM CDT,
